id,views,comments
FnrYAyDV24U,0,17970
ZPKZngGfF9c,5,1382
hnKwV5iVdUs,5,14591
H9XN6F05uD8,0,1419
v-7LL9aiq1A,0,1883
NVLISYeCqJ4,1,25838
94nMW3xYKtI,39,167282
H5r2QbKX0Z8,0,1618
vszZzULwGUI,3,25325
DB_rVDC68PU,6,1222
GAVdst3NPbA,41,11146
QZTova85IFQ,4,4991
4RCfZe8B_70,5,2537
a6GMpq4HqN8,11,4228
_dwayd7Pe2k,0,3944
8FB4CJ_Igfs,1,1213
2gm6Qmb2sxI,3,5943
MntIoJzq6C4,0,2115
yKdNVo81Q2U,5,1880
0CHoBqcXt7Q,5,7614
99Ucnm32Wp4,8,14542
PIwAkVzBuUM,6,15830
MSzAo3aFFLA,0,334731
5p0_xv_dulI,3,7826
bajB2VLqTuc,1,1587
ujDAiODEfYU,2,80334
MF8EGWx8OXQ,4,3214
X6GJwuDYWjo,1,29765
H4OGHG1WRy8,1,2709
kFrEbq1IAuY,1,2965
ISSgwUqK640,0,4273
FTsWje05sRU,1,2382
8kVp4utTmXs,0,1273
fWwmy2a15UE,1,8169
eHeZhOajTlY,47,1496518
bzZbKREbcR8,5,3219
49n9hA_5krw,3,7787
OVCbQmq6UTE,0,2919
vqhtI9TjF0U,2,3788
ntXJU4I1pyE,0,2109
Ld5Ise363s8,3,7690
LZGHuL9z4Xk,0,3916
dnL-jEw9m2g,0,2483
FhGmyl1YxyE,0,1583
nalBTKZhXaU,3,11798
OD3ZgvNHBf0,2,1691
HckGRfCWMwo,0,4709
TgjYiwPEgFY,72,41354
9SkNK5wi6vI,73,538195
b1lrIiAnnKk,0,3599
Pbxs6dOHBDo,4,380814
LK3EXkA5Vjs,15,2318
OK475H4la9w,5,18510
2mACiPSybeM,41,77343
ETug9Djc2Xo,0,1090
OhiVYC1byj8,0,2524
daKlrN3qsIQ,2,6571
9Nng1B2yCV4,0,5424
vU1fMDw7FIs,0,2353
ihHzuJHlZEI,0,3509
DffNd9dyU_I,13,59925
teAplx2DTYg,0,2432
ct2VBmIZLl4,0,8491
SWUC9tLwUww,0,3276
8kYn7joKoiI,0,2695
gKidHSAx3n4,4,4066
TmclWya3rHY,0,1308
0_kWgRL3rrg,6,12362
UTuwmON8Skk,0,4055
GNmJyvkpns0,7,37499
kBqYr3RNydo,1,2869
Ge6pXDKMzSs,4,2265
sg5KugXyBO0,28,15204
j5ehrJagU9w,1,3000
6iPLvmYmMkI,3,2396
ud9IoOQviN8,0,1455
PTJX8X4a304,2,70362
pxCqmHujvUA,0,3606
MtcCyCOhTMc,2,6093
eS6E_BEtSgE,38,3279
YD1PVdpUgDY,0,2770
MA4j8j87IQ4,1,2785
G9WnYUobaEI,11,3690
lHhUEKH3cnI,0,3626
1BLj9qoCIBw,2,11138
NNWrVvzRkZc,0,1378
R3fabV9ujPE,0,5077
BPGW9r8ohpM,1,11013
vx-gLhPKQDM,0,2159
BIcJoSKEiTs,1,3191
RFeBfMaxVkA,0,1097
HtQ42UvBu8M,8,25306
5XXXgwXorNA,0,1221
FV45XXSpLEM,12,2059
FTUyDObQ30E,1,3234
PNm9syGerqI,0,7490
4Qi3m9bJA-k,2,2481
fjOzbhDbPd0,2,1206
k4TBkOMe2Mw,1,1935
DMNdbgZUgk0,1,2326
tJ_-Y7CFo9c,1,4300
n7e7_UJZ4T8,0,1354
KyjALd7qJG4,21,5781
srNPoVpPTCY,4,8366
RPKK6LvnApM,2,6568
h_c-eamyS_4,0,1717
gy0F33FR_uw,4,11418
GShtKSmu1TA,0,1500
R0hgb6uEkjE,14,67200
kPHNRpFNaTg,0,4029
pBFcmmn-aJc,5,20198
miLEh84LSrw,0,1307
tIWoViZ67xs,1,2685
zpv3SkmNbeo,42,93759
4dNLHkhy8PA,6,5867
7ZdvUTpQiUA,0,2260
sgrlC828yRo,9,2517
TUqaWwTojLU,1,1881
vqmJ73_8Nds,3,7774
iV7dRUtMayI,0,1142
M0T60FrravE,2,1296
q3vPCHNTQI0,14,18299
vCdcutgo0GI,1,11790
qEA-cn1NYIE,22,239724
PEAZ8CytBxA,0,1192
V7mxVGksbgM,0,1565
OfQ8C2bJbA8,0,2032
1gMHP-OY5xs,910,71823
vIdN_enIdDE,4,9732
RxDckIEM3NE,6,27898
7LQe53_GS1Y,1,22501
JKmevgPOnwA,38,53741
7ZuuLzi9LNk,9,20716
WjYxV64YOQY,2,16843
IgvhqowH1Fk,17,36727
ZBLWHZthsgs,44,2397867
SDCEfiy6dq0,0,1449
YA56zZQD7HM,0,2571
gHZKnvd6F-M,83,8237
1PIF5XGdcZg,0,1474
AS5H5l2weNM,5,6808
fZpLZTpZeMI,0,1843
h9NjI4DyjWY,0,4219
pGzyKdIUmts,0,5402
Xv3pj5GreW8,0,12886
ptxbhLj4DKg,0,12465
6mDdDbp4bGg,2,3302
aUwUOLSPHdI,27,131182
gZ0CxAwP_J4,18,1999
wD8cMrnbZ6Y,0,2368
X-Ri4yL4hQM,1,2713
UJQKQCMuCIo,1,1522
SQghf6SQRRU,6,9940
DbRAwwDTHnM,5,3164
23gGkAWEIbU,0,14792
qqvIq4096po,0,4603
HfMOnPQ0Wng,3,1470
OwYa1O9Y0bI,0,1645
dt4xzZzZyMk,5,6480
kXS1C4c7HiE,1,1901
bytVSGKsfHs,36,134976
k2p78seRBjc,3,6464
zsBAbxO1y8o,6,284009
vCx_MrzT1_E,4,13949
V2JfF1YsZRc,0,3517
zgPtgOVdxf0,2,1483
Cg1wCxnOquc,1,1905
h6QmKpsS6S0,0,1277
euxbFcYqmSg,1,1456
UGOB6GqnsIQ,15,18967
tifoQknA754,6,21186
DZy4klbRDNM,27,2754
XYR1vQPamo0,0,1663
FN6FVFt_eWI,0,3740
gv38w7w8vpY,0,7806
mH0qakES2B4,11,27219
pTGUfS5zBLw,0,4205
UHcijRqrGgo,0,2325
iDzaeRykSDM,3,1893
HHnHwLkK_9s,1,37279
278g8iWlEwI,0,3527
E1rBIjgjXYE,0,1852
XOzXVAyQN2w,2,3065
8nsWoyQWyC0,6,11846
pljYm8_4_cY,1,3561
fCRrMNUKbMY,0,5043
YsJokvVYqKU,4,2115
4o_GODMDfm4,13,15456
NpheGZvd0cY,0,1103
Iq8Nl-WEutc,9,1642
g11vRqv7nak,1,8141
ivzlx_Jc7Hs,0,1324
KzhtqDSPCU4,3,1475
_eqrkh3M_9Q,5,6858
mUsHHjNQQmc,6,4457
VuPz6Apd6XU,0,1446
KVHm5dFXlGQ,0,6133
7Vqvia77sIk,0,1758
uiLDQ4J2CjE,4,2558
DEoZt2es1KM,0,1681
zjuHfFp-jTM,1,3871
RDwcsDX757U,1,8516
66MYe8OUUyQ,0,9677
Mg2hVB8llcs,5,3467
Z6cyMbbgIPU,0,1702
KYNv_MZGECw,22,21420
cIagi5TADb0,2,2631
81TVpD3t4Rw,1,2020
OT5PxCsSbsM,0,1792
